TBK_t1,TBK_t2,TBK_t3
6.88,7.27,5.44
7.27,5.44,6.11
5.44,6.11,5.54
6.11,5.54,5.44
5.54,5.44,5.93
7.29,6.67,6.35
6.67,6.35,6.59
6.35,6.59,7.08
6.59,7.08,7.01
7.08,7.01,7.28
8.44,6.93,7.09
6.93,7.09,8.39
7.09,8.39,8.24
8.39,8.24,8.92
8.24,8.92,7.61
8.22,7.17,6.05
7.17,6.05,6.83
6.05,6.83,6.71
6.83,6.71,7.02
6.71,7.02,7.36
8.14,6.53,6.19
6.53,6.19,7.87
6.19,7.87,7.52
7.87,7.52,7.19
7.52,7.19,6.78
6.29,7.27,5.23
7.27,5.23,6.12
5.23,6.12,5.84
6.12,5.84,5.87
5.84,5.87,6.23
7.61,8.33,7.24
8.33,7.24,7.21
7.24,7.21,6.58
7.21,6.58,6.93
6.58,6.93,7.15
6.19,5.77,5.44
5.77,5.44,6.16
5.44,6.16,5.25
6.16,5.25,6.23
5.25,6.23,5.74
8.51,7.8,6.05
7.8,6.05,6.63
6.05,6.63,6.75
6.63,6.75,6.79
6.75,6.79,7.39
7.98,7.03,6.51
7.03,6.51,7.14
6.51,7.14,6.94
7.14,6.94,6.8
6.94,6.8,7.33
6.56,7.07,5.66
7.07,5.66,6.21
5.66,6.21,6.05
6.21,6.05,5.45
6.05,5.45,5.96
6.16,7.1,5.11
7.1,5.11,5.94
5.11,5.94,6.07
5.94,6.07,5.52
6.07,5.52,4.74
7.71,6.27,6.67
6.27,6.67,5.81
6.67,5.81,6.4
5.81,6.4,6.21
6.4,6.21,6.67
7.83,6.8,6.81
6.8,6.81,6.76
6.81,6.76,7.4
6.76,7.4,8.05
7.4,8.05,7.72
7.73,7.3,6.6
7.3,6.6,6.98
6.6,6.98,7.45
6.98,7.45,7.18
7.45,7.18,7.24
6.54,6.17,5.72
6.17,5.72,5.76
5.72,5.76,6.52
5.76,6.52,6.88
6.52,6.88,6.94
7.54,6.9,6.35
6.9,6.35,8.06
6.35,8.06,7.36
8.06,7.36,7.48
7.36,7.48,7.72
7.86,7.97,7.19
7.97,7.19,8.84
7.19,8.84,7.71
8.84,7.71,8.08
7.71,8.08,7.86
7.46,6.13,5.45
6.13,5.45,6.76
5.45,6.76,6.47
6.76,6.47,6.57
6.47,6.57,6.75
8.62,7.27,7.97
7.27,7.97,7.84
7.97,7.84,8.51
7.84,8.51,9.12
8.51,9.12,8.11
7.79,6.83,7.48
6.83,7.48,8.08
7.48,8.08,8.21
8.08,8.21,8.03
8.21,8.03,7.61
7.28,5.77,5.49
5.77,5.49,6.54
5.49,6.54,6.31
6.54,6.31,6.14
6.31,6.14,6.4
8.13,7.63,7.32
7.63,7.32,7.21
7.32,7.21,7.64
7.21,7.64,7.72
7.64,7.72,8.07
7.1,6.6,6.05
6.6,6.05,7.78
6.05,7.78,6.1
7.78,6.1,6.44
6.1,6.44,6.5
7.52,6.53,6.2
6.53,6.2,6.85
6.2,6.85,7.63
6.85,7.63,7.46
7.63,7.46,6.69
7.92,5.07,4.99
5.07,4.99,4.52
4.99,4.52,3.61
4.52,3.61,4.58
3.61,4.58,1.1
7.37,6.33,5.86
6.33,5.86,6.22
5.86,6.22,6.17
6.22,6.17,5.61
6.17,5.61,6.03
5.72,6.57,6.01
6.57,6.01,5.93
6.01,5.93,6.6
5.93,6.6,6.72
6.6,6.72,6.68
6.93,7.67,3.92
7.67,3.92,5.54
3.92,5.54,5.68
