ID,TBK1,TBK2,TBK3,TBK4,TBK5,TBK6,TBK7,TBK8
213000611,6.88,7.27,5.44,6.11,5.54,5.44,5.93,1.96
213016702,7.29,6.67,6.35,6.59,7.08,7.01,7.28,8.85
213010736,8.44,6.93,7.09,8.39,8.24,8.92,7.61,9.24
213042481,8.22,7.17,6.05,6.83,6.71,7.02,7.36,9.24
213004322,8.14,6.53,6.19,7.87,7.52,7.19,6.78,2.12
213016704,6.29,7.27,5.23,6.12,5.84,5.87,6.23,9.0
213001733,7.61,8.33,7.24,7.21,6.58,6.93,7.15,8.92
213004174,6.19,5.77,5.44,6.16,5.25,6.23,5.74,9.3
213010502,8.51,7.8,6.05,6.63,6.75,6.79,7.39,8.5
213013334,7.98,7.03,6.51,7.14,6.94,6.8,7.33,9.04
213006705,6.56,7.07,5.66,6.21,6.05,5.45,5.96,9.5
213006706,6.16,7.1,5.11,5.94,6.07,5.52,4.74,8.0
213001217,7.71,6.27,6.67,5.81,6.4,6.21,6.67,9.0
213001789,7.83,6.8,6.81,6.76,7.4,8.05,7.72,8.81
213041167,7.73,7.3,6.6,6.98,7.45,7.18,7.24,9.27
213046708,6.54,6.17,5.72,5.76,6.52,6.88,6.94,2.19
213006709,7.54,6.9,6.35,8.06,7.36,7.48,7.72,9.16
213010886,7.86,7.97,7.19,8.84,7.71,8.08,7.86,9.27
213001734,7.46,6.13,5.45,6.76,6.47,6.57,6.75,2.19
213004031,8.62,7.27,7.97,7.84,8.51,9.12,8.11,2.31
213002197,7.79,6.83,7.48,8.08,8.21,8.03,7.61,2.19
213001497,7.28,5.77,5.49,6.54,6.31,6.14,6.4,9.5
213000887,8.13,7.63,7.32,7.21,7.64,7.72,8.07,2.08
213000017,7.1,6.6,6.05,7.78,6.1,6.44,6.5,1.98
213004175,7.52,6.53,6.2,6.85,7.63,7.46,6.69,2.24
213046710,7.92,5.07,4.99,4.52,3.61,4.58,1.1,0.0
213001386,7.37,6.33,5.86,6.22,6.17,5.61,6.03,7.0
213044578,5.72,6.57,6.01,5.93,6.6,6.72,6.68,8.72
213046712,6.93,7.67,3.92,5.54,5.68,5.18,5.86,8.5
213000436,6.91,7.23,6.39,6.07,5.98,6.86,6.99,9.35
213003052,8.66,7.97,8.05,7.04,8.02,8.89,7.58,8.85
213000437,7.08,6.57,6.08,7.73,5.99,6.48,6.18,9.02
213006713,5.95,6.2,5.81,6.29,5.94,6.56,6.29,9.0
213011735,6.94,6.77,6.78,6.57,6.78,6.0,5.79,1.85
213002520,8.3,7.57,7.62,8.36,7.9,8.94,7.78,9.31
213043336,7.62,7.4,6.85,8.09,7.86,7.66,7.06,2.19
213016716,7.7,7.1,5.77,6.51,5.19,5.87,4.58,8.0
213004453,6.39,7.37,6.44,6.86,5.89,6.57,7.26,9.5
213011736,8.34,9.0,8.21,7.88,8.14,9.06,8.0,9.54
213010737,7.54,8.3,7.56,8.15,8.02,8.42,8.21,9.08
213003555,7.52,7.57,6.32,7.66,7.3,7.48,7.39,8.88
213046718,6.97,5.27,5.25,5.94,5.68,7.0,6.33,9.5
213006719,8.61,8.83,7.81,5.87,6.85,7.09,6.14,2.08
213000612,7.46,6.47,7.19,7.51,7.92,8.31,7.7,8.85
213012405,8.01,6.03,5.24,6.61,6.65,6.42,7.06,8.8
213000778,7.06,6.23,5.87,7.18,6.31,6.36,6.76,8.69
213016720,7.68,8.2,7.96,8.36,6.95,8.44,8.08,9.32
213014091,7.56,6.1,4.88,5.66,6.02,6.14,5.96,9.6
223030600,7.36,7.0,6.18,5.87,6.52,6.35,6.546666666666667,6.546666666666667
223030601,6.15,6.5,6.48,8.31,7.57,7.8,7.135000000000001,7.135000000000001
223030602,7.6,6.67,7.63,7.51,7.76,7.89,7.510000000000001,7.510000000000001
223030603,8.36,7.6,8.69,8.66,8.71,9.21,8.538333333333334,8.538333333333334
223030605,5.59,5.0,3.95,6.24,5.88,5.3,5.326666666666667,5.326666666666667
223030606,6.58,6.83,6.61,6.43,6.22,6.82,6.581666666666666,6.581666666666666
223030608,6.38,7.07,6.13,7.11,6.2,7.41,6.716666666666666,6.716666666666666
223030609,8.81,9.0,7.52,8.25,7.46,7.63,8.111666666666666,8.111666666666666
223030611,7.49,6.83,8.34,8.33,8.37,8.99,8.058333333333334,8.058333333333334
223000612,7.08,7.47,8.08,7.89,8.0,8.33,7.808333333333333,7.808333333333333
223030613,5.85,7.07,5.2,7.08,6.36,7.2,6.460000000000001,6.460000000000001
223030614,7.67,6.93,7.84,7.32,6.73,7.58,7.345,7.345
223030615,7.06,6.8,7.71,7.54,7.07,7.89,7.345,7.345
223030616,7.29,6.27,6.88,6.66,6.8,7.28,6.863333333333333,6.863333333333333
223030617,6.68,7.8,6.64,7.46,6.09,7.27,6.989999999999999,6.989999999999999
223030618,7.92,6.97,7.57,7.43,7.68,7.8,7.561666666666667,7.561666666666667
223030619,7.34,6.27,7.32,7.21,7.3,7.14,7.096666666666667,7.096666666666667
223030620,7.36,6.23,5.69,5.89,6.29,6.64,6.3500000000000005,6.3500000000000005
223030621,6.47,6.07,6.58,6.56,5.75,6.65,6.346666666666667,6.346666666666667
223030623,7.39,6.83,6.64,6.51,6.72,7.27,6.8933333333333335,6.8933333333333335
223134455,5.8,4.53,3.45,5.74,5.16,6.01,5.115000000000001,5.115000000000001
223030624,6.96,5.63,5.12,6.19,5.64,6.42,5.993333333333332,5.993333333333332
223030625,7.18,5.37,5.85,5.72,6.5,6.97,6.265000000000001,6.265000000000001
223030626,7.54,7.07,8.49,8.64,8.46,8.67,8.145000000000001,8.145000000000001
223030627,7.21,7.23,7.4,6.73,6.58,7.86,7.168333333333334,7.168333333333334
223030628,7.67,8.13,7.69,7.61,5.62,7.88,7.433333333333334,7.433333333333334
223030629,7.54,7.2,6.96,6.97,7.34,8.43,7.406666666666666,7.406666666666666
223030630,7.41,8.23,8.46,8.26,7.56,8.85,8.128333333333332,8.128333333333332
223030631,7.96,8.0,8.54,8.46,9.22,8.94,8.520000000000001,8.520000000000001
223030632,6.21,7.13,5.14,8.01,6.71,6.32,6.586666666666666,6.586666666666666
223030633,7.47,7.0,7.42,7.01,6.66,7.61,7.195,7.195
223030635,8.45,8.0,8.66,8.9,8.73,9.21,8.658333333333333,8.658333333333333
223030636,6.59,6.27,5.93,4.07,5.9,7.08,5.973333333333334,5.973333333333334
223030638,7.38,7.17,6.72,6.21,6.31,6.94,6.788333333333334,6.788333333333334
223030639,6.11,6.23,5.58,5.79,6.19,6.66,6.093333333333334,6.093333333333334
223030640,7.61,6.8,6.36,5.48,5.89,5.71,6.308333333333334,6.308333333333334
223030641,5.27,6.3,5.56,5.79,5.9,4.98,5.633333333333334,5.633333333333334
223030642,8.11,5.5,6.86,7.21,5.98,6.93,6.765000000000001,6.765000000000001
223000643,6.8,5.8,5.7,5.61,6.67,6.31,6.148333333333333,6.148333333333333
223030644,6.02,7.8,6.45,6.84,6.88,7.03,6.836666666666666,6.836666666666666
213012716,8.76,8.8,7.88,7.99,8.25,9.04,8.453333333333335,8.453333333333335
223000645,7.56,7.57,7.96,7.37,7.8,8.04,7.716666666666666,7.716666666666666
223000646,5.56,6.63,4.68,5.79,3.78,6.52,5.493333333333332,5.493333333333332
223030648,7.08,7.73,6.45,6.69,7.59,8.18,7.286666666666666,7.286666666666666
223030649,6.96,6.63,6.11,6.01,4.81,6.11,6.105,6.105
223030650,8.04,7.5,8.01,7.77,7.7,7.33,7.7250000000000005,7.7250000000000005
223030652,7.94,8.17,7.62,6.91,7.89,8.33,7.81,7.81
213013852,5.51,0.0,4.99,4.04,1.94,4.82,3.5500000000000003,3.5500000000000003
223030653,8.25,7.4,8.49,8.24,8.5,8.71,8.265,8.265
223030654,6.99,8.27,7.48,7.01,6.42,7.7,7.311666666666667,7.311666666666667
223030655,8.74,9.23,8.95,9.08,9.1,9.1,9.033333333333333,9.033333333333333
223000656,6.66,6.47,6.59,6.77,7.65,7.85,6.998333333333332,6.998333333333332
223030657,5.8,6.1,5.31,3.87,3.14,4.31,4.755,4.755
223030658,5.68,5.0,3.26,3.79,3.9,6.31,4.656666666666666,4.656666666666666
223030659,6.79,7.43,5.16,5.89,6.6,6.83,6.45,6.45
223000660,6.52,5.3,5.74,4.56,6.08,6.08,5.713333333333334,5.713333333333334
223030664,4.57,4.73,5.34,5.11,4.49,4.34,4.763333333333333,4.763333333333333
233000551,6.51,5.07,6.64,6.94,6.29,6.29,6.29,6.29
233030553,8.11,7.27,7.89,8.35,7.904999999999999,7.904999999999999,7.904999999999999,7.904999999999999
233030554,5.3,4.1,4.33,4.64,4.592499999999999,4.592499999999999,4.592499999999999,4.592499999999999
233030555,7.22,6.67,6.36,7.57,6.955,6.955,6.955,6.955
233030556,5.76,5.03,5.11,4.92,5.205,5.205,5.205,5.205
223030607,6.38,5.7,1.0,0.0,3.27,3.27,3.27,3.27
233030559,5.98,4.5,3.66,4.34,4.62,4.62,4.62,4.62
233030561,7.74,4.13,5.47,5.59,5.7325,5.7325,5.7325,5.7325
233030562,7.86,6.7,6.68,6.64,6.970000000000001,6.970000000000001,6.970000000000001,6.970000000000001
233030563,7.55,5.93,6.91,5.82,6.5525,6.5525,6.5525,6.5525
233000564,7.27,6.0,6.39,6.25,6.4775,6.4775,6.4775,6.4775
233030565,7.18,6.3,6.29,6.22,6.4975000000000005,6.4975000000000005,6.4975000000000005,6.4975000000000005
223030610,3.24,4.6,3.83,0.0,2.9175,2.9175,2.9175,2.9175
233030566,6.36,6.8,6.52,6.29,6.4925,6.4925,6.4925,6.4925
233030567,6.81,6.03,4.54,6.69,6.0175,6.0175,6.0175,6.0175
233030568,7.61,6.5,7.73,6.81,7.1625,7.1625,7.1625,7.1625
233030569,7.34,6.47,6.49,8.25,7.137499999999999,7.137499999999999,7.137499999999999,7.137499999999999
233030570,7.72,5.73,7.18,7.34,6.9925,6.9925,6.9925,6.9925
233030571,0.0,0.0,0.0,9.0,2.25,2.25,2.25,2.25
233030574,7.89,7.77,7.16,7.95,7.6925,7.6925,7.6925,7.6925
233000575,6.23,6.3,5.89,7.06,6.37,6.37,6.37,6.37
233030576,8.69,7.87,8.05,8.54,8.2875,8.2875,8.2875,8.2875
233030577,8.53,7.5,6.72,6.84,7.3975,7.3975,7.3975,7.3975
233030578,7.17,5.23,6.0,6.26,6.165,6.165,6.165,6.165
233030579,9.7,9.33,8.98,9.35,9.34,9.34,9.34,9.34
233030580,6.78,5.4,5.72,6.12,6.005,6.005,6.005,6.005
233030581,6.56,5.5,5.67,5.36,5.7725,5.7725,5.7725,5.7725
233030582,7.58,6.3,6.26,5.92,6.515,6.515,6.515,6.515
233030583,8.14,7.17,6.19,5.91,6.852500000000001,6.852500000000001,6.852500000000001,6.852500000000001
233030584,6.76,5.73,6.11,6.89,6.3725000000000005,6.3725000000000005,6.3725000000000005,6.3725000000000005
233030585,6.38,4.53,4.56,6.85,5.58,5.58,5.58,5.58
233000586,8.43,8.13,7.55,8.51,8.155000000000001,8.155000000000001,8.155000000000001,8.155000000000001
233030587,6.54,6.27,6.95,5.9,6.415,6.415,6.415,6.415
223000637,3.35,0.0,0.0,1.1166666666666667,1.1166666666666667,1.1166666666666667,1.1166666666666667,1.1166666666666667
233030588,8.48,7.63,8.43,8.57,8.2775,8.2775,8.2775,8.2775
233030589,7.82,8.07,7.21,8.18,7.82,7.82,7.82,7.82
233030590,6.39,5.1,4.76,5.54,5.4475,5.4475,5.4475,5.4475
233030591,8.06,6.83,7.35,7.89,7.5325,7.5325,7.5325,7.5325
233030592,7.44,7.4,6.99,7.12,7.2375,7.2375,7.2375,7.2375
233030593,5.08,1.07,3.59,0.0,2.435,2.435,2.435,2.435
233030594,7.29,7.63,6.18,6.29,6.8475,6.8475,6.8475,6.8475
233030595,6.38,4.63,1.7,3.32,4.0075,4.0075,4.0075,4.0075
233030596,7.09,6.8,6.72,6.27,6.72,6.72,6.72,6.72
233030597,8.31,6.67,8.21,8.34,7.8825,7.8825,7.8825,7.8825
233030598,5.14,4.8,3.49,5.11,4.635,4.635,4.635,4.635
233030599,6.29,5.8,5.97,6.17,6.0575,6.0575,6.0575,6.0575
233030600,6.33,4.33,5.1,0.84,4.15,4.15,4.15,4.15
233030601,7.07,6.13,6.34,6.44,6.495,6.495,6.495,6.495
233030602,8.88,7.07,8.18,7.64,7.942500000000001,7.942500000000001,7.942500000000001,7.942500000000001
233030604,5.71,4.73,4.88,5.71,5.2575,5.2575,5.2575,5.2575
233030605,7.68,6.8,7.56,6.86,7.225,7.225,7.225,7.225
233030606,6.03,4.53,4.58,3.88,4.755000000000001,4.755000000000001,4.755000000000001,4.755000000000001
233030608,5.82,5.13,4.12,5.55,5.154999999999999,5.154999999999999,5.154999999999999,5.154999999999999
233030609,8.14,7.1,7.4,7.06,7.425000000000001,7.425000000000001,7.425000000000001,7.425000000000001
233000610,6.41,4.57,4.86,5.06,5.225,5.225,5.225,5.225
233030611,8.02,6.53,6.54,5.85,6.735,6.735,6.735,6.735
233030612,6.54,6.13,5.82,5.6,6.0225,6.0225,6.0225,6.0225
233000613,5.57,3.87,3.1,5.39,4.4825,4.4825,4.4825,4.4825
233030614,7.4,5.3,5.07,5.93,5.925,5.925,5.925,5.925
V232106717,5.02,0.0,0.0,0.0,1.255,1.255,1.255,1.255
233030615,7.48,5.03,3.95,6.62,5.7700000000000005,5.7700000000000005,5.7700000000000005,5.7700000000000005
233000616,4.7,5.67,5.44,6.8,5.6525,5.6525,5.6525,5.6525
233030617,8.52,6.33,7.71,5.99,7.137499999999999,7.137499999999999,7.137499999999999,7.137499999999999
233030619,7.32,5.13,7.16,7.01,6.654999999999999,6.654999999999999,6.654999999999999,6.654999999999999
233030618,6.85,5.3,5.81,5.79,5.9375,5.9375,5.9375,5.9375
233030620,6.72,5.53,5.97,6.83,6.2625,6.2625,6.2625,6.2625
233030621,5.99,5.97,5.09,4.67,5.43,5.43,5.43,5.43
233030622,7.49,5.7,6.07,6.67,6.4825,6.4825,6.4825,6.4825
223030661,6.87,4.07,2.41,0.0,3.3375000000000004,3.3375000000000004,3.3375000000000004,3.3375000000000004
233030623,6.91,5.7,6.59,5.39,6.1475,6.1475,6.1475,6.1475
243030508,7.57,5.53,6.550000000000001,6.550000000000001,6.550000000000001,6.550000000000001,6.550000000000001,6.550000000000001
243024439,5.31,3.03,4.17,4.17,4.17,4.17,4.17,4.17
243024438,6.87,4.7,5.785,5.785,5.785,5.785,5.785,5.785
243003887,7.72,6.5,7.109999999999999,7.109999999999999,7.109999999999999,7.109999999999999,7.109999999999999,7.109999999999999
243024440,6.42,3.47,4.945,4.945,4.945,4.945,4.945,4.945
243030509,7.36,5.23,6.295,6.295,6.295,6.295,6.295,6.295
243003888,7.53,0.87,4.2,4.2,4.2,4.2,4.2,4.2
243030510,7.48,5.97,6.725,6.725,6.725,6.725,6.725,6.725
243030511,7.26,6.73,6.995,6.995,6.995,6.995,6.995,6.995
243030513,6.93,6.13,6.529999999999999,6.529999999999999,6.529999999999999,6.529999999999999,6.529999999999999,6.529999999999999
243030514,8.26,7.27,7.765,7.765,7.765,7.765,7.765,7.765
243030515,7.46,5.37,6.415,6.415,6.415,6.415,6.415,6.415
243024441,8.28,6.63,7.455,7.455,7.455,7.455,7.455,7.455
243030516,5.32,5.47,5.395,5.395,5.395,5.395,5.395,5.395
243030517,7.46,7.2,7.33,7.33,7.33,7.33,7.33,7.33
243030518,5.49,5.5,5.495,5.495,5.495,5.495,5.495,5.495
243024442,8.58,7.7,8.14,8.14,8.14,8.14,8.14,8.14
243030519,6.11,5.93,6.02,6.02,6.02,6.02,6.02,6.02
243030521,5.23,3.47,4.3500000000000005,4.3500000000000005,4.3500000000000005,4.3500000000000005,4.3500000000000005,4.3500000000000005
243024443,4.64,5.33,4.984999999999999,4.984999999999999,4.984999999999999,4.984999999999999,4.984999999999999,4.984999999999999
243003889,6.81,6.2,6.505,6.505,6.505,6.505,6.505,6.505
243030522,6.92,6.43,6.675,6.675,6.675,6.675,6.675,6.675
243030523,7.46,7.53,7.495,7.495,7.495,7.495,7.495,7.495
243030524,3.76,0.0,1.88,1.88,1.88,1.88,1.88,1.88
243030525,6.01,5.17,5.59,5.59,5.59,5.59,5.59,5.59
243030526,6.29,6.63,6.46,6.46,6.46,6.46,6.46,6.46
